id_i,id_j
1,2
1,18
2,3
2,4
2,6
3,5
3,7
3,9
5,11
5,17
6,15
6,19
7,8
7,10
8,12
8,16
10,14
12,13
14,22
18,20
18,21
20,23
22,26
23,24
24,25
26,27
26,28
28,29
28,30
30,31
30,32
31,33
33,34
34,35
35,36
36,37
36,38
38,39
39,40
39,44
39,45
40,41
40,43
41,42
45,46
46,47
47,48
48,49
49,50
50,51
51,52
52,53
53,54
54,55
55,56
55,58
55,61
56,57
56,59
56,60
61,62
62,63
63,64
64,65
65,66
66,67
67,68
67,69
69,70
70,71
71,72
72,73
72,74
74,75
75,76
75,77
75,78
78,79
78,80
80,81
81,82
82,83
82,87
82,88
83,84
83,85
84,86
87,89
89,90
90,91
90,92
92,93
92,94
94,95
94,96
96,97
96,98
98,99
99,100
100,101
101,102
101,103
103,104
104,105
104,106
106,107
106,108
108,109
109,110
110,111
111,112
112,113
113,114
114,115
115,116
116,117
117,118
118,119
118,120
120,121
121,122
121,124
122,123
123,154
123,155
124,125
125,126
126,127
127,128
127,129
128,130
130,131
131,132
131,133
131,134
133,135
135,136
135,137
137,138
137,139
137,140
139,142
140,141
142,143
143,144
144,145
145,146
146,147
146,148
146,149
149,150
149,151
151,152
151,153
155,156
156,157
157,158
158,159
158,160
160,161
161,162
162,163
163,164
164,165
165,166
166,167
167,168
168,169
168,170
169,171
171,172
172,173
173,174
173,176
174,175
175,177
176,180
177,178
177,179
179,181
181,182
182,183
182,184
184,185
184,186
186,187
187,188
188,189
188,190
190,191
191,192
192,193
193,194
193,195
194,198
195,196
196,197
198,199
198,200
