id_i,id_j
1,2
1,23
2,3
2,4
2,60
4,5
4,17
5,6
5,9
5,24
6,7
6,8
7,11
7,38
8,13
8,49
9,10
9,12
10,105
11,21
12,14
12,20
13,28
13,170
14,15
14,19
15,16
15,68
15,130
16,18
16,30
16,70
17,43
17,61
18,35
18,83
19,33
20,29
21,22
21,89
22,25
22,27
22,106
23,26
23,34
23,55
24,77
25,76
26,48
27,74
27,121
28,39
29,31
29,36
30,40
30,67
31,32
31,45
31,53
33,37
34,54
34,154
35,81
36,57
37,59
38,47
39,42
39,46
39,69
40,41
41,44
41,52
42,50
42,73
42,116
43,151
44,72
45,79
45,125
46,86
46,148
47,51
47,133
48,56
48,192
52,99
52,197
54,75
55,63
55,110
55,136
56,58
57,62
57,88
58,71
59,64
59,80
59,84
60,66
60,78
62,85
62,143
64,65
64,97
65,124
65,178
66,91
66,199
68,115
69,82
70,100
71,90
71,96
72,87
72,156
73,95
77,103
78,92
79,107
79,162
83,137
85,94
85,135
86,140
86,152
87,93
87,112
87,127
88,109
89,104
90,101
90,194
91,188
91,190
93,102
94,168
95,98
95,138
96,182
97,123
97,159
99,120
101,132
102,108
102,117
103,113
103,147
104,119
105,128
108,160
109,111
110,114
114,126
115,118
115,134
116,144
116,157
116,175
116,184
117,195
118,142
119,122
119,172
122,129
122,150
125,131
126,145
126,166
128,171
130,158
131,139
132,146
133,161
134,141
135,149
137,155
137,181
139,163
140,164
140,179
141,153
150,183
151,165
153,191
156,200
159,167
160,177
163,187
164,180
166,173
167,169
169,186
172,174
175,176
176,193
179,185
179,198
180,196
185,189
