id_i,id_j
1,2
1,3
1,7
1,16
2,4
2,5
2,19
2,197
3,61
4,6
4,21
4,40
5,11
5,15
6,8
6,9
7,10
7,30
8,12
8,28
8,80
9,60
10,17
10,33
11,13
11,23
11,32
12,18
12,35
13,14
13,48
14,20
14,37
14,41
15,22
15,34
16,63
16,141
17,46
17,62
18,49
18,134
18,137
19,25
20,26
21,47
22,24
22,27
23,53
24,29
24,31
24,45
25,36
25,52
25,101
26,110
28,39
28,124
29,42
31,81
32,64
34,44
35,38
36,126
37,93
38,106
38,130
39,55
39,65
40,89
41,56
42,43
42,54
43,75
43,82
43,171
44,57
44,159
45,79
46,50
48,107
48,122
49,51
50,66
51,70
51,73
51,91
52,78
52,149
53,108
54,71
54,121
55,58
55,98
55,114
56,59
56,67
57,139
57,152
58,68
58,69
60,74
61,95
62,109
64,135
65,103
65,183
66,87
69,84
69,125
69,196
70,85
71,72
72,83
72,86
72,111
73,76
73,92
74,77
74,117
75,100
75,104
75,148
76,133
77,90
78,97
80,112
80,153
81,140
82,129
84,193
85,163
86,142
86,177
87,88
87,136
88,96
88,99
90,94
90,118
90,120
91,132
92,187
93,105
93,166
94,181
96,102
97,127
98,160
103,116
103,156
104,168
105,113
105,164
107,154
108,123
110,128
110,147
113,115
113,186
115,179
117,119
120,138
120,185
122,161
123,151
125,144
126,131
131,146
131,173
132,165
135,143
138,192
139,189
142,162
142,176
143,150
143,175
144,145
145,182
145,190
146,155
147,169
148,167
149,157
150,172
151,158
152,188
156,170
163,199
165,174
166,184
166,195
168,180
173,194
174,178
177,200
181,191
195,198
