id_i,id_j
1,2
1,28
2,3
2,4
4,6
5,6
5,11
7,9
8,9
8,10
9,14
10,12
11,12
12,57
13,15
13,16
14,15
16,18
17,18
18,19
19,20
20,21
20,25
22,23
22,25
24,25
26,28
26,33
26,42
27,28
27,30
29,31
30,31
32,34
32,37
33,34
35,36
36,37
38,40
38,49
39,40
39,43
41,42
42,43
44,45
44,50
45,46
47,48
48,50
49,50
51,52
51,58
52,53
53,55
54,55
55,56
57,59
57,62
58,59
60,62
60,69
61,62
63,64
63,67
64,65
65,71
66,67
66,95
67,68
69,71
69,73
70,71
72,73
72,74
74,75
76,77
76,91
77,78
77,79
79,81
80,81
80,82
82,84
83,84
83,85
85,87
86,87
88,90
88,91
89,90
89,100
91,93
92,93
94,96
95,96
95,98
97,98
98,100
99,100
