id_i,id_j
1,2
2,3
3,4
3,8
4,6
5,6
6,38
7,9
8,9
8,10
9,25
10,12
11,12
13,15
13,187
14,15
15,18
16,17
16,24
17,18
19,20
19,24
20,21
22,23
23,25
24,25
26,27
26,30
27,28
28,36
29,31
30,31
31,50
32,33
32,35
33,34
35,37
36,37
38,39
38,41
39,40
40,49
41,42
42,43
42,73
44,46
44,47
45,46
47,48
48,50
49,50
51,53
52,53
52,54
54,56
54,62
55,56
55,69
57,59
58,59
58,61
60,61
61,62
61,91
63,65
64,65
64,68
64,70
66,67
67,68
69,70
70,71
70,74
72,73
72,75
74,75
76,78
77,78
78,79
79,81
79,97
80,81
80,85
82,83
82,86
83,84
85,86
86,87
88,90
89,90
89,91
91,93
92,93
92,96
94,96
95,96
96,99
97,98
98,100
99,100
101,102
101,105
101,107
102,103
103,117
104,105
105,106
105,169
107,109
107,110
108,109
110,112
111,112
113,115
114,115
114,118
114,119
116,118
117,118
119,120
120,121
121,122
122,123
122,124
124,125
125,147
126,128
126,130
126,149
127,128
129,130
129,136
130,131
132,133
132,137
133,134
135,137
136,137
138,139
139,140
139,142
141,143
141,144
142,143
144,145
144,150
145,146
147,148
147,149
149,150
151,153
152,153
153,154
153,157
154,156
155,156
157,159
158,159
158,164
159,160
160,162
161,162
161,191
163,165
163,167
164,165
166,168
166,171
167,168
169,170
170,171
170,175
172,173
173,175
174,175
176,178
176,179
176,187
177,178
179,181
180,181
182,183
183,184
184,185
185,187
185,189
186,187
188,189
189,190
190,193
191,193
191,196
192,193
194,195
194,200
195,196
197,198
197,200
199,200
