id_i,id_j
1,2
1,3
1,16
1,21
2,4
2,11
2,17
2,58
3,7
3,20
4,5
4,6
5,22
6,9
6,34
7,8
7,10
7,31
7,50
8,12
8,48
9,13
9,25
9,33
11,15
12,19
12,67
13,14
14,18
14,35
15,55
16,28
16,59
17,70
18,49
18,87
19,23
21,89
23,24
23,26
23,30
24,51
25,45
26,27
26,32
27,29
28,38
28,56
29,40
29,76
29,77
31,42
32,43
32,94
33,44
33,62
34,36
34,37
36,39
37,46
37,66
37,69
38,47
38,52
39,41
40,53
40,64
41,80
42,93
44,60
46,57
47,65
48,63
48,71
48,74
49,68
50,98
51,54
51,85
52,92
53,72
54,97
57,61
64,75
64,82
65,88
66,79
68,73
70,100
71,99
73,78
74,95
75,90
76,83
78,81
79,96
80,86
81,91
82,84
