id_i,id_j
1,2
1,3
1,7
1,43
2,53
3,4
3,5
4,6
4,70
5,12
5,22
5,27
6,8
6,10
7,9
7,16
9,11
9,15
10,13
11,35
11,82
12,14
12,30
12,45
13,17
14,28
14,44
15,18
16,20
17,19
17,21
17,32
18,23
18,33
18,50
19,25
19,29
20,36
21,24
23,47
23,80
24,26
25,31
25,48
25,77
26,41
26,98
28,84
29,49
30,39
30,63
30,81
31,76
32,60
33,34
33,37
34,38
34,51
34,83
35,87
36,52
36,85
38,46
39,40
39,57
39,97
40,42
41,55
41,86
41,91
42,73
43,79
46,54
46,56
46,71
46,74
50,58
52,62
52,78
54,88
55,61
56,69
57,59
57,92
58,72
58,75
59,65
60,64
61,66
61,100
62,67
62,90
64,68
66,89
71,96
75,95
77,99
80,93
92,94
