id_i,id_j
1,2
1,3
1,4
1,5
2,22
2,63
3,7
3,8
3,17
3,27
4,6
4,36
5,12
5,15
5,37
5,40
6,10
7,11
7,18
8,9
8,13
9,32
10,29
11,20
11,23
12,35
13,14
13,16
13,19
14,21
14,31
15,30
16,26
16,67
16,73
17,34
18,25
20,24
20,49
21,45
22,28
22,44
23,46
23,52
24,33
24,77
25,50
26,69
27,42
27,58
28,100
29,38
30,60
32,43
32,48
33,55
33,75
33,99
34,59
35,82
38,39
38,62
39,54
40,41
41,47
41,74
42,51
45,53
45,56
47,94
48,57
50,61
50,80
52,72
52,89
53,95
55,76
55,86
56,65
58,70
59,68
60,64
60,90
65,66
65,71
65,81
66,92
71,88
71,96
73,78
74,79
76,85
78,83
79,87
81,84
83,91
83,93
85,97
89,98
