id_i,id_j
1,2
1,3
2,6
2,7
3,4
4,5
5,10
7,8
7,9
9,24
10,11
11,12
12,13
13,14
14,15
14,16
14,17
17,18
17,19
19,20
19,21
21,22
22,23
24,25
25,26
25,27
27,28
28,29
29,30
30,31
31,32
32,33
32,61
33,34
34,35
35,36
36,37
37,38
37,60
38,39
39,40
39,41
41,42
42,43
43,44
43,45
43,46
46,47
47,48
48,49
49,50
50,51
51,52
52,53
53,54
54,55
54,56
54,57
57,58
57,59
58,62
60,100
61,97
62,63
63,64
64,65
64,66
66,67
67,68
68,69
69,70
70,71
71,72
71,73
72,90
72,92
73,74
74,75
75,76
76,77
76,78
78,79
78,96
79,80
80,81
81,82
82,83
83,84
84,85
84,86
86,87
87,88
87,89
87,91
87,95
92,93
93,94
97,98
97,99
