id_i,id_j
1,2
1,4
1,8
1,11
2,3
2,10
4,5
4,12
5,6
6,7
8,9
11,13
12,15
13,14
14,18
15,16
15,17
15,19
19,20
20,21
21,22
22,23
23,24
24,25
25,26
25,30
26,27
27,28
27,29
29,31
31,32
32,33
33,34
34,35
34,36
36,37
37,38
38,39
39,40
39,41
40,152
40,187
41,42
42,43
42,44
44,45
44,46
46,47
47,48
48,49
49,50
49,51
51,52
51,53
53,54
54,55
55,56
56,57
56,58
58,59
59,60
60,61
60,62
62,63
62,64
64,65
64,66
66,67
67,68
67,69
69,70
70,71
71,72
72,73
73,74
73,75
75,76
75,77
77,78
77,79
79,80
80,81
80,82
82,83
83,84
83,167
84,85
85,86
86,87
87,88
87,137
88,89
88,154
89,90
90,91
91,92
92,93
93,94
94,95
95,96
95,97
97,98
97,99
99,100
100,101
100,168
101,102
102,103
102,104
104,105
105,106
106,107
106,108
106,109
108,139
108,153
109,110
110,111
111,112
112,113
112,114
112,115
115,116
116,117
117,118
118,119
119,120
120,121
120,122
122,123
123,124
123,125
125,126
126,127
127,128
128,129
128,130
130,131
130,132
132,133
133,134
133,136
134,135
134,138
138,140
140,141
141,142
141,143
143,144
144,145
145,146
146,147
147,148
147,149
149,150
149,173
150,151
154,155
155,156
156,157
157,158
158,159
159,160
159,162
160,161
160,163
160,164
164,165
165,166
165,170
167,169
170,171
171,172
173,174
174,175
175,176
176,177
177,178
178,179
179,180
180,181
180,182
180,183
183,184
184,185
185,186
187,188
187,189
189,190
190,191
191,192
192,193
193,194
194,195
195,196
196,197
197,198
198,199
199,200
