id_i,id_j
1,2
1,4
1,5
1,8
2,3
2,9
3,12
3,14
3,15
4,24
4,37
5,6
5,7
5,18
6,48
7,10
7,11
8,68
9,23
10,13
11,20
11,21
11,35
13,16
13,49
14,26
14,67
15,19
15,22
16,17
16,38
16,69
17,29
18,74
19,30
19,47
20,42
21,56
22,25
22,27
23,44
24,40
24,45
25,28
25,80
25,92
26,33
26,94
27,32
27,53
27,65
27,77
30,31
30,58
31,81
32,34
32,75
34,51
34,59
34,70
35,36
38,39
39,41
39,55
40,50
41,79
41,83
42,43
42,46
42,98
43,52
43,91
44,63
52,57
52,60
53,54
53,76
55,72
56,78
59,85
60,61
60,62
61,90
62,64
63,66
64,95
69,71
70,73
71,93
75,82
76,84
78,88
82,89
84,86
84,87
92,97
93,100
95,96
95,99
