id_i,id_j
1,2
1,3
1,12
2,4
2,61
3,6
4,5
5,11
5,13
6,7
6,10
6,65
7,8
7,20
7,36
8,9
8,14
8,15
9,19
9,41
10,69
11,18
11,28
12,17
12,27
13,16
13,55
13,94
14,45
15,21
15,22
16,23
17,59
18,26
18,47
19,31
20,24
21,32
21,96
22,46
22,78
22,155
23,93
23,107
24,25
24,53
25,33
26,30
26,79
27,29
27,37
27,44
28,35
28,39
28,117
29,165
30,60
31,70
32,40
32,51
33,34
33,42
33,52
34,73
34,112
35,38
35,56
36,43
36,62
38,54
38,193
39,197
40,50
42,48
42,104
43,85
43,137
44,75
44,170
45,49
45,58
45,71
47,74
48,91
48,103
48,185
50,57
50,67
51,110
51,166
52,87
52,134
53,80
53,84
54,95
55,81
55,138
56,63
56,77
57,64
57,101
58,175
59,89
59,144
59,156
60,116
60,164
61,86
63,66
64,72
64,114
64,135
65,128
65,139
65,146
66,76
66,109
67,68
67,82
68,83
68,99
68,118
69,105
69,153
70,168
71,106
71,183
72,163
73,122
73,130
74,92
74,132
75,141
75,145
76,148
77,136
79,102
80,115
82,90
82,171
83,108
83,113
84,129
85,97
85,111
86,88
87,98
88,100
89,159
92,150
95,154
97,120
97,188
100,151
103,124
104,121
104,194
105,127
105,158
106,189
107,125
108,126
108,172
109,119
113,161
114,131
114,186
115,123
115,143
116,133
119,196
120,142
120,199
121,149
125,140
126,147
127,182
133,169
134,198
135,187
140,177
141,152
141,174
143,160
149,157
150,173
151,184
156,162
157,167
160,180
160,190
161,192
162,176
165,179
169,181
171,178
177,195
184,191
194,200
