id_i,id_j
1,2
1,5
1,8
2,3
2,4
2,6
2,7
4,9
4,51
4,192
5,10
5,41
6,15
6,21
7,13
8,11
8,14
9,12
9,16
10,27
10,44
11,17
11,77
13,20
13,82
13,85
14,23
14,35
15,103
15,124
16,19
16,26
16,62
17,18
17,22
18,24
18,94
19,48
19,92
20,28
21,46
22,30
24,25
24,37
25,31
25,80
26,34
26,43
27,29
28,50
28,81
29,32
29,63
29,129
29,215
30,75
30,84
31,45
31,49
32,33
32,76
32,166
33,60
33,65
35,36
35,38
36,39
37,221
38,55
39,40
39,42
39,138
39,222
40,54
40,57
41,52
41,74
43,47
43,67
43,87
44,56
45,191
46,70
46,93
46,96
47,95
47,108
48,83
49,59
49,71
49,287
50,123
50,174
52,53
52,58
53,164
53,244
54,61
54,180
56,89
56,200
57,97
57,452
58,68
59,64
59,119
62,72
63,135
64,66
64,450
65,86
65,112
66,69
66,78
66,184
67,111
67,202
69,146
70,73
71,117
71,246
73,127
74,132
75,109
76,101
77,79
77,88
78,107
78,151
79,267
80,104
81,126
82,90
82,140
83,91
83,115
83,118
84,183
84,403
85,102
86,116
87,133
88,130
88,198
89,120
90,106
91,113
91,136
92,105
93,100
94,348
95,99
96,139
97,98
97,137
97,298
98,213
98,214
99,110
99,340
100,205
100,402
102,161
104,122
104,155
105,128
105,225
105,258
106,177
108,218
109,306
110,114
111,121
112,398
113,141
113,204
113,359
114,188
115,134
116,157
117,150
117,266
117,311
119,156
120,303
121,125
121,145
121,379
122,159
122,175
122,227
123,185
124,131
126,195
129,147
130,231
130,265
131,154
131,208
131,292
132,142
132,259
132,332
133,171
134,167
134,232
134,251
135,148
135,281
136,144
138,158
139,143
141,234
142,160
142,242
142,263
143,149
143,169
144,172
144,417
145,152
146,201
146,211
148,199
148,323
149,178
150,182
151,153
152,354
153,308
154,236
155,220
155,276
156,163
158,241
158,371
159,162
159,173
160,165
160,476
161,168
161,181
161,269
162,224
162,272
163,197
163,309
164,217
165,240
165,256
166,230
167,187
167,190
168,170
168,283
168,377
169,460
170,243
171,423
171,483
172,194
173,176
173,286
173,343
174,271
177,179
177,223
177,390
178,186
178,312
178,357
180,216
181,346
181,480
182,193
182,375
182,408
183,196
183,296
183,349
184,207
184,299
185,294
186,219
186,228
186,229
187,189
187,212
188,289
188,383
189,279
189,290
189,345
190,248
190,370
191,406
193,341
194,238
194,363
196,233
196,291
197,203
197,327
198,445
199,210
200,252
202,270
203,206
203,261
203,405
204,209
206,361
208,226
211,239
211,416
211,464
212,436
213,347
214,260
216,237
218,295
219,245
219,338
220,235
221,297
223,247
223,257
224,250
224,438
225,316
226,277
227,249
229,433
229,469
231,288
233,329
234,360
234,425
234,484
238,268
238,274
238,331
239,392
240,300
240,395
241,365
242,275
244,254
244,264
244,320
245,412
246,253
248,293
248,307
249,378
249,466
250,456
251,255
252,444
254,404
255,432
255,451
256,394
257,273
257,285
258,435
260,302
260,305
261,262
261,366
262,278
262,333
262,374
264,334
265,284
267,282
270,280
270,321
272,315
273,322
277,325
278,362
280,328
280,330
281,353
282,324
284,350
285,468
286,304
287,301
288,381
289,310
290,369
292,453
293,447
293,493
294,411
295,319
299,318
299,339
300,314
300,352
305,358
306,434
307,326
308,313
308,458
309,344
310,317
310,336
311,389
312,368
314,487
316,356
319,419
321,454
322,367
322,382
322,420
322,463
327,475
328,351
330,376
330,399
331,385
333,335
333,380
334,388
335,400
336,337
337,446
338,342
339,427
342,490
343,485
343,492
345,384
346,393
346,415
351,373
352,355
353,364
354,387
355,372
356,461
358,478
362,386
362,437
363,448
365,421
366,426
369,477
370,418
371,431
371,439
372,413
374,401
375,424
376,494
377,391
377,414
378,422
380,441
380,467
381,430
384,481
385,396
387,397
387,407
392,409
394,471
395,410
399,479
407,429
410,491
411,474
413,470
419,428
421,455
424,457
426,449
429,440
435,473
437,442
439,459
442,443
445,462
446,486
448,489
450,496
453,465
456,495
467,497
470,472
471,488
481,482
490,499
493,500
495,498
